(reinforcement) C:\Users\Kelvin\Desktop\reinforcement learning\Chapter 11>python .\a3c_data_parallelism.py --cuda -n final
336740: done 339 games, mean reward -20.390, speed 136.89 f/s
338557: done 340 games, mean reward -20.400, speed 117.73 f/s
339079: done 341 games, mean reward -20.400, speed 97.71 f/s
339670: done 342 games, mean reward -20.390, speed 127.81 f/s
341510: done 343 games, mean reward -20.390, speed 112.29 f/s
341639: done 344 games, mean reward -20.390, speed 117.97 f/s
342790: done 345 games, mean reward -20.390, speed 116.58 f/s
342919: done 346 games, mean reward -20.390, speed 119.68 f/s
345477: done 347 games, mean reward -20.370, speed 114.40 f/s
345605: done 348 games, mean reward -20.360, speed 113.80 f/s
345925: done 349 games, mean reward -20.340, speed 141.28 f/s
345990: done 350 games, mean reward -20.340, speed 67.11 f/s
346458: done 351 games, mean reward -20.330, speed 134.95 f/s
346629: done 352 games, mean reward -20.320, speed 82.93 f/s
349191: done 353 games, mean reward -20.320, speed 114.21 f/s
349643: done 354 games, mean reward -20.330, speed 130.93 f/s
350211: done 355 games, mean reward -20.310, speed 102.71 f/s
352888: done 356 games, mean reward -20.310, speed 120.17 f/s
353114: done 357 games, mean reward -20.300, speed 105.60 f/s
355293: done 358 games, mean reward -20.310, speed 116.14 f/s
355934: done 359 games, mean reward -20.310, speed 113.67 f/s
356741: done 360 games, mean reward -20.310, speed 105.43 f/s
360140: done 361 games, mean reward -20.300, speed 117.74 f/s
360434: done 362 games, mean reward -20.310, speed 128.91 f/s
360947: done 363 games, mean reward -20.330, speed 118.08 f/s
361351: done 364 games, mean reward -20.330, speed 96.50 f/s
363100: done 365 games, mean reward -20.310, speed 118.98 f/s
364679: done 366 games, mean reward -20.310, speed 110.71 f/s
367238: done 367 games, mean reward -20.320, speed 115.74 f/s
367961: done 368 games, mean reward -20.340, speed 128.21 f/s
368391: done 369 games, mean reward -20.340, speed 101.57 f/s
369799: done 370 games, mean reward -20.330, speed 115.11 f/s
370694: done 371 games, mean reward -20.330, speed 116.24 f/s
372037: done 372 games, mean reward -20.330, speed 120.58 f/s
372224: done 373 games, mean reward -20.340, speed 84.30 f/s
374437: done 374 games, mean reward -20.330, speed 116.98 f/s
377029: done 375 games, mean reward -20.340, speed 116.85 f/s
378375: done 376 games, mean reward -20.340, speed 111.18 f/s
379062: done 377 games, mean reward -20.340, speed 122.50 f/s
379335: done 378 games, mean reward -20.350, speed 116.51 f/s
379647: done 379 games, mean reward -20.370, speed 136.80 f/s
379901: done 380 games, mean reward -20.360, speed 113.70 f/s
380678: done 381 games, mean reward -20.360, speed 103.84 f/s
381637: done 382 games, mean reward -20.340, speed 123.27 f/s
382030: done 383 games, mean reward -20.360, speed 115.40 f/s
382977: done 384 games, mean reward -20.370, speed 107.85 f/s
383331: done 385 games, mean reward -20.370, speed 147.15 f/s
383623: done 386 games, mean reward -20.370, speed 93.46 f/s
383935: done 387 games, mean reward -20.370, speed 132.27 f/s
384091: done 388 games, mean reward -20.360, speed 142.66 f/s
385015: done 389 games, mean reward -20.360, speed 117.13 f/s
386525: done 390 games, mean reward -20.370, speed 114.19 f/s
386904: done 391 games, mean reward -20.360, speed 109.29 f/s
387191: done 392 games, mean reward -20.370, speed 126.59 f/s
387301: done 393 games, mean reward -20.370, speed 95.16 f/s
390261: done 394 games, mean reward -20.380, speed 110.55 f/s
390968: done 395 games, mean reward -20.380, speed 99.69 f/s
391506: done 396 games, mean reward -20.390, speed 114.04 f/s
391637: done 397 games, mean reward -20.380, speed 108.91 f/s
391942: done 398 games, mean reward -20.400, speed 90.39 f/s
393429: done 399 games, mean reward -20.400, speed 114.14 f/s
393989: done 400 games, mean reward -20.400, speed 98.48 f/s
395839: done 401 games, mean reward -20.390, speed 111.83 f/s
396420: done 402 games, mean reward -20.380, speed 100.74 f/s
397120: done 403 games, mean reward -20.380, speed 117.61 f/s
397283: done 404 games, mean reward -20.380, speed 132.08 f/s
398981: done 405 games, mean reward -20.390, speed 104.72 f/s
399570: done 406 games, mean reward -20.390, speed 122.02 f/s
399862: done 407 games, mean reward -20.390, speed 123.79 f/s
401003: done 408 games, mean reward -20.390, speed 107.89 f/s
404211: done 409 games, mean reward -20.380, speed 109.47 f/s
404357: done 410 games, mean reward -20.340, speed 67.24 f/s
405593: done 411 games, mean reward -20.320, speed 115.85 f/s
405766: done 412 games, mean reward -20.310, speed 79.10 f/s
406095: done 413 games, mean reward -20.310, speed 133.30 f/s
407281: done 414 games, mean reward -20.310, speed 113.66 f/s
408131: done 415 games, mean reward -20.300, speed 104.84 f/s
409329: done 416 games, mean reward -20.270, speed 112.78 f/s
409976: done 417 games, mean reward -20.260, speed 109.86 f/s
410691: done 418 games, mean reward -20.260, speed 103.09 f/s
411638: done 419 games, mean reward -20.260, speed 114.17 f/s
415044: done 420 games, mean reward -20.260, speed 109.84 f/s
415222: done 421 games, mean reward -20.280, speed 146.09 f/s
416258: done 422 games, mean reward -20.290, speed 102.34 f/s
417262: done 423 games, mean reward -20.290, speed 119.91 f/s
418004: done 424 games, mean reward -20.290, speed 106.98 f/s
418563: done 425 games, mean reward -20.280, speed 102.83 f/s
419846: done 426 games, mean reward -20.280, speed 114.71 f/s
422251: done 427 games, mean reward -20.270, speed 118.89 f/s
423259: done 428 games, mean reward -20.270, speed 112.81 f/s
423758: done 429 games, mean reward -20.260, speed 111.69 f/s
424516: done 430 games, mean reward -20.250, speed 113.90 f/s
424807: done 431 games, mean reward -20.260, speed 127.59 f/s
427010: done 432 games, mean reward -20.260, speed 111.39 f/s
428356: done 433 games, mean reward -20.280, speed 121.17 f/s
429186: done 434 games, mean reward -20.290, speed 109.33 f/s
429702: done 435 games, mean reward -20.280, speed 117.13 f/s
432647: done 436 games, mean reward -20.280, speed 114.95 f/s
432774: done 437 games, mean reward -20.300, speed 111.37 f/s
434110: done 438 games, mean reward -20.310, speed 118.29 f/s
434564: done 439 games, mean reward -20.310, speed 105.30 f/s
435560: done 440 games, mean reward -20.280, speed 125.02 f/s
435675: done 441 games, mean reward -20.280, speed 102.25 f/s
437565: done 442 games, mean reward -20.290, speed 113.07 f/s
437736: done 443 games, mean reward -20.280, speed 152.04 f/s
438916: done 444 games, mean reward -20.280, speed 109.00 f/s
439112: done 445 games, mean reward -20.280, speed 167.30 f/s
439542: done 446 games, mean reward -20.290, speed 125.69 f/s
441157: done 447 games, mean reward -20.300, speed 112.74 f/s
441304: done 448 games, mean reward -20.300, speed 122.21 f/s
442545: done 449 games, mean reward -20.320, speed 113.49 f/s
442757: done 450 games, mean reward -20.320, speed 102.04 f/s
